school;student;student;normexam;cons;standlrt;girl;avslrt
2;21;21;0;1;-1;1;0
2;22;22;0;1;1;1;0
2;23;23;-1;1;-1;1;0
2;24;24;1;1;2;1;0
2;25;25;-1;1;-1;1;0
2;26;26;2;1;2;1;0
2;27;27;1;1;0;1;0
2;28;28;1;1;0;1;0
2;29;29;3;1;2;1;0
2;30;30;2;1;2;1;0
2;31;31;0;1;2;1;0
2;32;32;-2;1;0;1;0
2;33;33;0;1;1;1;0
2;34;34;-1;1;-3;1;0
2;35;35;2;1;0;1;0
2;36;36;1;1;0;1;0
2;37;37;-1;1;0;1;0
2;38;38;2;1;0;1;0
2;39;39;-1;1;-2;1;0
2;40;40;-1;1;-1;1;0
2;41;41;1;1;0;1;0
2;42;42;2;1;2;1;0
2;43;43;2;1;2;1;0
2;44;44;-1;1;0;1;0
2;45;45;0;1;1;1;0
2;46;46;1;1;2;1;0
2;47;47;1;1;2;1;0
2;48;48;0;1;-1;1;0
2;49;49;2;1;1;1;0
2;50;50;2;1;2;1;0
2;51;51;3;1;1;1;0
2;52;52;1;1;0;1;0
2;53;53;1;1;0;1;0
2;54;54;-1;1;-1;1;0
2;55;55;-1;1;-1;1;0
3;1;1;0;1;0;1;1
3;2;2;3;1;1;1;1
3;3;3;-1;1;1;1;1
3;4;4;2;1;1;0;1
3;5;5;1;1;0;0;1
3;6;6;0;1;-1;0;1
3;7;7;-1;1;1;0;1
3;8;8;0;1;0;0;1
3;9;9;0;1;-2;0;1
3;10;10;1;1;0;1;1
3;11;11;2;1;2;0;1
3;12;12;0;1;1;1;1
3;13;13;1;1;-1;1;1
3;14;14;0;1;1;1;1
3;15;15;1;1;0;1;1
3;16;16;2;1;0;1;1
3;17;17;1;1;0;0;1
3;18;18;0;1;0;0;1
3;19;19;2;1;1;0;1
3;20;20;0;1;0;1;1
3;21;21;-1;1;-1;0;1
3;22;22;0;1;0;1;1
3;23;23;2;1;1;1;1
3;24;24;1;1;1;0;1
3;25;25;0;1;0;1;1
3;26;26;2;1;1;1;1
3;27;27;2;1;2;0;1
3;28;28;2;1;2;0;1
3;29;29;1;1;1;1;1
3;30;30;2;1;1;1;1
3;31;31;2;1;2;0;1
3;32;32;1;1;1;0;1
3;33;33;2;1;1;1;1
3;34;34;1;1;1;0;1
3;35;35;1;1;0;1;1
3;36;36;1;1;1;1;1
3;37;37;1;1;-1;0;1
3;38;38;2;1;1;1;1
3;39;39;0;1;-1;0;1
3;40;40;1;1;0;0;1
3;41;41;1;1;0;0;1
3;42;42;0;1;1;0;1
3;43;43;1;1;0;0;1
3;44;44;2;1;1;1;1
3;45;45;-1;1;0;0;1
3;46;46;0;1;-1;0;1
3;47;47;1;1;1;1;1
3;48;48;1;1;1;0;1
3;49;49;0;1;0;1;1
3;50;50;0;1;1;0;1
3;51;51;1;1;1;0;1
3;52;52;2;1;0;0;1
4;1;1;1;1;0;1;0
4;2;2;0;1;0;0;0
4;3;3;0;1;2;0;0
4;4;4;0;1;0;1;0
4;5;5;-2;1;-1;0;0
4;6;6;0;1;-1;0;0
4;7;7;0;1;0;1;0
4;8;8;0;1;0;0;0
4;9;9;0;1;1;1;0
4;10;10;-2;1;-1;0;0
4;11;11;0;1;0;1;0
4;12;12;-1;1;-1;0;0
4;13;13;0;1;2;0;0
4;14;14;-1;1;-1;0;0
4;15;15;0;1;0;0;0
4;16;16;-1;1;0;0;0
4;17;17;1;1;0;1;0
4;18;18;3;1;1;1;0
4;19;19;2;1;0;0;0
4;20;20;-2;1;-2;0;0
4;21;21;0;1;0;0;0
4;22;22;0;1;0;1;0
4;23;23;-1;1;0;0;0
4;24;24;1;1;1;1;0
4;25;25;1;1;1;1;0
4;26;26;0;1;-1;0;0
4;27;27;-2;1;-1;1;0
4;28;28;-1;1;-1;0;0
4;29;29;-1;1;-2;1;0
4;30;30;0;1;1;0;0
4;31;31;0;1;0;0;0
4;32;32;1;1;1;0;0
4;33;33;1;1;-1;0;0
4;34;34;0;1;1;0;0
4;35;35;1;1;0;0;0
4;36;36;-1;1;1;0;0
4;37;37;-1;1;0;1;0
4;38;38;-1;1;-2;0;0
4;39;39;-2;1;-2;0;0
4;40;40;0;1;-1;1;0
4;41;41;1;1;1;1;0
4;42;42;0;1;0;1;0
4;43;43;-1;1;0;1;0
4;44;44;-1;1;-1;0;0
4;45;45;1;1;0;1;0
4;46;46;-1;1;0;0;0
4;47;47;2;1;2;1;0
4;48;48;1;1;0;0;0
4;49;49;2;1;-1;1;0
4;50;50;1;1;0;1;0
4;51;51;2;1;2;1;0
4;52;52;1;1;1;0;0
4;53;53;2;1;2;0;0
4;54;54;1;1;2;1;0
4;55;55;1;1;1;0;0
4;56;56;2;1;2;0;0
4;57;57;2;1;1;1;0
4;58;58;-1;1;-1;0;0
4;59;59;-1;1;-1;1;0
4;60;60;0;1;1;1;0
4;61;61;-1;1;0;0;0
4;62;62;-1;1;0;0;0
4;63;63;0;1;-1;1;0
4;64;64;-1;1;-2;1;0
4;65;65;-1;1;-1;1;0
4;66;66;0;1;1;1;0
4;67;67;1;1;2;0;0
4;68;68;-1;1;-1;0;0
4;69;69;-1;1;0;0;0
4;70;70;2;1;0;1;0
4;71;71;-2;1;-1;0;0
4;72;72;-1;1;0;0;0
4;73;73;0;1;1;1;0
4;74;74;-1;1;0;0;0
4;75;75;1;1;1;1;0
4;76;76;1;1;2;1;0
4;77;77;2;1;1;0;0
4;78;78;0;1;-1;0;0
4;79;79;0;1;0;0;0
5;1;1;1;1;0;1;0
5;2;2;1;1;0;0;0
5;3;3;0;1;0;1;0
5;4;4;0;1;0;0;0
5;5;5;0;1;1;0;0
5;6;6;2;1;1;1;0
5;7;7;0;1;1;1;0
5;8;8;0;1;0;1;0
5;9;9;-1;1;0;1;0
5;10;10;0;1;1;1;0
5;11;11;0;1;0;0;0
5;12;12;1;1;2;0;0
5;13;13;1;1;0;1;0
5;14;14;0;1;0;0;0
5;15;15;0;1;0;0;0
5;16;16;2;1;2;1;0
5;17;17;0;1;-1;0;0
5;18;18;2;1;0;0;0
5;19;19;1;1;0;1;0
5;20;20;1;1;1;1;0
5;21;21;0;1;1;0;0
5;22;22;0;1;-1;1;0
5;23;23;1;1;0;1;0
5;24;24;0;1;1;0;0
5;25;25;1;1;1;1;0
5;26;26;0;1;0;0;0
5;27;27;-1;1;-1;1;0
5;28;28;0;1;0;0;0
5;29;29;1;1;0;0;0
5;30;30;1;1;1;0;0
5;31;31;-1;1;-1;1;0
5;32;32;-1;1;0;1;0
5;33;33;1;1;1;0;0
5;34;34;0;1;1;1;0
5;35;35;0;1;0;1;0
6;1;1;1;1;0;1;1
6;2;2;1;1;0;1;1
6;3;3;1;1;1;1;1
6;4;4;0;1;1;1;1
6;5;5;0;1;2;1;1
6;6;6;2;1;1;1;1
6;7;7;0;1;2;1;1
6;8;8;1;1;2;1;1
6;9;9;2;1;1;1;1
6;10;10;2;1;1;1;1
6;11;11;2;1;0;1;1
6;12;12;0;1;0;1;1
6;13;13;2;1;2;1;1
6;14;14;1;1;1;1;1
6;15;15;1;1;-1;1;1
6;16;16;2;1;2;1;1
6;17;17;2;1;1;1;1
6;18;18;1;1;1;1;1
6;19;19;2;1;1;1;1
6;20;20;1;1;1;1;1
6;21;21;2;1;2;1;1
6;22;22;1;1;0;1;1
6;23;23;0;1;0;1;1
6;24;24;1;1;0;1;1
6;25;25;0;1;0;1;1
6;26;26;0;1;-1;1;1
6;27;27;1;1;1;1;1
6;28;28;0;1;1;1;1
6;29;29;1;1;-1;1;1
6;30;30;1;1;1;1;1
6;31;31;2;1;2;1;1
6;32;32;1;1;0;1;1
6;33;33;1;1;2;1;1
6;34;34;2;1;1;1;1
6;35;35;3;1;2;1;1
6;36;36;1;1;0;1;1
6;37;37;1;1;1;1;1
6;38;38;1;1;1;1;1
6;39;39;1;1;0;1;1
6;40;40;2;1;1;1;1
6;41;41;1;1;0;1;1
6;42;42;-2;1;-1;1;1
6;43;43;0;1;1;1;1
6;44;44;2;1;1;1;1
6;45;45;2;1;1;1;1
6;46;46;2;1;1;1;1
6;47;47;0;1;0;1;1
6;48;48;2;1;2;1;1
6;49;49;2;1;2;1;1
6;50;50;0;1;0;1;1
6;51;51;1;1;0;1;1
6;52;52;1;1;0;1;1
6;53;53;1;1;2;1;1
6;54;54;1;1;0;1;1
6;55;55;2;1;1;1;1
6;56;56;-1;1;0;1;1
6;57;57;1;1;2;1;1
6;58;58;1;1;1;1;1
6;59;59;0;1;0;1;1
6;60;60;2;1;1;1;1
6;61;61;-1;1;0;1;1
6;62;62;0;1;0;1;1
6;63;63;1;1;1;1;1
6;64;64;0;1;0;1;1
6;65;65;1;1;0;1;1
6;66;66;1;1;0;1;1
6;67;67;0;1;0;1;1
6;68;68;0;1;-1;1;1
6;69;69;1;1;1;1;1
6;70;70;1;1;0;1;1
6;71;71;2;1;1;1;1
6;72;72;2;1;1;1;1
6;73;73;1;1;0;1;1
6;74;74;0;1;0;1;1
6;75;75;0;1;0;1;1
6;76;76;0;1;0;1;1
6;77;77;0;1;2;1;1
6;78;78;-1;1;1;1;1
6;79;79;2;1;1;1;1
6;80;80;1;1;0;1;1
7;1;1;-2;1;0;1;0
7;2;2;0;1;-2;1;0
7;3;3;0;1;-1;1;0
7;4;4;0;1;0;1;0
7;5;5;-1;1;-1;1;0
7;6;6;1;1;0;1;0
7;7;7;0;1;0;1;0
7;8;8;0;1;0;1;0
7;9;9;0;1;0;1;0
7;10;10;2;1;1;1;0
7;11;11;2;1;-1;1;0
7;12;12;1;1;0;1;0
7;13;13;1;1;0;1;0
7;14;14;1;1;1;1;0
7;15;15;1;1;0;1;0
7;16;16;0;1;0;1;0
7;17;17;1;1;0;1;0
7;18;18;0;1;1;1;0
7;19;19;0;1;-1;1;0
7;20;20;1;1;0;1;0
7;21;21;1;1;0;1;0
7;22;22;0;1;0;1;0
7;23;23;0;1;-1;1;0
7;24;24;2;1;2;1;0
7;25;25;1;1;0;1;0
7;26;26;2;1;0;1;0
7;27;27;0;1;-1;1;0
7;28;28;1;1;0;1;0
7;29;29;1;1;2;1;0
7;30;30;1;1;2;1;0
7;31;31;-1;1;-1;1;0
7;32;32;1;1;-1;1;0
7;33;33;-1;1;0;1;0
7;34;34;1;1;2;1;0
7;35;35;0;1;-1;1;0
7;36;36;1;1;0;1;0
7;37;37;1;1;2;1;0
7;38;38;1;1;0;1;0
7;39;39;0;1;0;1;0
7;40;40;1;1;0;1;0
7;41;41;1;1;1;1;0
7;42;42;0;1;0;1;0
7;43;43;1;1;0;1;0
7;44;44;-1;1;0;1;0
7;45;45;1;1;-1;1;0
7;46;46;-1;1;0;1;0
7;47;47;0;1;-1;1;0
7;48;48;0;1;0;1;0
7;49;49;0;1;0;1;0
7;50;50;0;1;0;1;0
7;51;51;1;1;0;1;0
7;52;52;0;1;1;1;0
7;53;53;0;1;0;1;0
7;54;54;2;1;-2;1;0
7;55;55;-1;1;-1;1;0
7;56;56;1;1;0;1;0
7;57;57;0;1;0;1;0
7;58;58;1;1;1;1;0
7;59;59;0;1;0;1;0
7;60;60;0;1;-1;1;0
7;61;61;-1;1;1;1;0
7;62;62;-1;1;1;1;0
7;63;63;1;1;1;1;0
7;64;64;1;1;1;1;0
7;65;65;0;1;-1;1;0
7;66;66;0;1;-1;1;0
7;67;67;-1;1;-2;1;0
7;68;68;1;1;0;1;0
7;69;69;0;1;0;1;0
7;70;70;1;1;0;1;0
7;71;71;0;1;1;1;0
7;72;72;0;1;-1;1;0
7;73;73;0;1;2;1;0
7;74;74;0;1;-1;1;0
7;75;75;-1;1;0;1;0
7;76;76;1;1;0;1;0
7;77;77;0;1;0;1;0
7;78;78;0;1;-1;1;0
7;79;79;0;1;-1;1;0
7;80;80;2;1;0;1;0
7;81;81;0;1;0;1;0
7;82;82;0;1;0;1;0
7;83;83;1;1;1;1;0
7;84;84;1;1;0;1;0
7;85;85;2;1;0;1;0
7;86;86;0;1;0;1;0
7;87;87;-1;1;-1;1;0
7;88;88;0;1;0;1;0
8;1;1;0;1;-1;1;0
8;2;2;0;1;2;1;0
8;3;3;1;1;1;1;0
8;4;4;1;1;3;1;0
8;5;5;-1;1;0;1;0
8;6;6;-1;1;-2;1;0
8;7;7;2;1;1;1;0
8;8;8;1;1;1;1;0
8;9;9;-2;1;-1;1;0
8;10;10;-1;1;-1;1;0
8;11;11;2;1;2;1;0
8;12;12;1;1;0;1;0
8;13;13;1;1;1;1;0
8;14;14;-1;1;0;1;0
8;15;15;0;1;-2;1;0
8;16;16;1;1;1;1;0
8;17;17;-1;1;-1;1;0
8;18;18;0;1;-2;1;0
8;19;19;0;1;-1;1;0
8;20;20;-1;1;0;1;0
8;21;21;1;1;0;1;0
8;22;22;0;1;-1;1;0
8;23;23;0;1;2;1;0
8;24;24;0;1;1;1;0
8;25;25;1;1;1;1;0
8;26;26;1;1;-1;1;0
8;27;27;1;1;0;1;0
8;28;28;0;1;1;1;0
8;29;29;-1;1;0;1;0
8;30;30;-1;1;0;1;0
8;31;31;-1;1;-1;1;0
8;32;32;-1;1;-1;1;0
8;33;33;-1;1;-1;1;0
8;34;34;0;1;0;1;0
8;35;35;1;1;0;1;0
8;36;36;0;1;1;1;0
8;37;37;0;1;0;1;0
8;38;38;0;1;0;1;0
8;39;39;1;1;0;1;0
8;40;40;0;1;-1;1;0
8;41;41;1;1;1;1;0
8;42;42;0;1;1;1;0
8;43;43;2;1;1;1;0
8;44;44;0;1;-1;1;0
8;45;45;-1;1;-1;1;0
8;46;46;-2;1;-1;1;0
8;47;47;1;1;1;1;0
8;48;48;0;1;-1;1;0
8;49;49;0;1;-1;1;0
8;50;50;1;1;0;1;0
8;51;51;-2;1;-1;1;0
8;52;52;0;1;3;1;0
8;53;53;-1;1;-1;1;0
8;54;54;1;1;-1;1;0
8;55;55;2;1;1;1;0
8;56;56;0;1;0;1;0
8;57;57;-1;1;1;1;0
8;58;58;0;1;0;1;0
8;59;59;-1;1;-1;1;0
8;60;60;0;1;0;1;0
8;61;61;1;1;0;1;0
8;62;62;0;1;0;1;0
8;63;63;0;1;0;1;0
8;64;64;2;1;0;1;0
8;65;65;3;1;3;1;0
8;66;66;0;1;0;1;0
8;67;67;0;1;-1;1;0
8;68;68;-2;1;1;1;0
8;69;69;-2;1;-2;1;0
8;70;70;2;1;3;1;0
8;71;71;-1;1;-1;1;0
8;72;72;0;1;0;1;0
8;73;73;0;1;0;1;0
8;74;74;0;1;0;1;0
8;75;75;-2;1;0;1;0
8;76;76;0;1;0;1;0
8;77;77;2;1;2;1;0
8;78;78;0;1;0;1;0
8;79;79;-1;1;0;1;0
8;80;80;0;1;0;1;0
8;81;81;-1;1;-1;1;0
8;82;82;-1;1;-2;1;0
8;83;83;0;1;1;1;0
8;84;84;0;1;0;1;0
8;85;85;2;1;1;1;0
8;86;86;-1;1;-1;1;0
8;87;87;-1;1;-2;1;0
8;88;88;-1;1;-1;1;0
8;89;89;-1;1;1;1;0
8;90;90;0;1;0;1;0
8;91;91;1;1;1;1;0
8;92;92;1;1;1;1;0
8;93;93;0;1;-1;1;0
8;94;94;-2;1;-2;1;0
8;95;95;0;1;-1;1;0
8;96;96;0;1;0;1;0
8;97;97;-1;1;0;1;0
8;98;98;-2;1;-1;1;0
8;99;99;-1;1;-1;1;0
8;100;100;0;1;0;1;0
8;101;101;0;1;0;1;0
8;102;102;1;1;1;1;0
9;1;1;-2;1;0;0;0
9;2;2;-1;1;0;0;0
9;3;3;-1;1;-3;0;0
9;4;4;2;1;-1;0;0
9;5;5;0;1;-2;0;0
9;6;6;-1;1;-1;0;0
9;7;7;-1;1;-2;1;0
9;8;8;0;1;1;0;0
9;9;9;-1;1;-2;1;0
9;10;10;-1;1;-2;0;0
9;11;11;1;1;1;0;0
9;12;12;0;1;0;0;0
9;13;13;1;1;1;1;0
9;14;14;0;1;-1;0;0
9;15;15;-1;1;-1;1;0
9;16;16;-1;1;1;0;0
9;17;17;-1;1;0;0;0
9;18;18;-1;1;1;1;0
9;19;19;0;1;-2;1;0
9;20;20;-1;1;-1;0;0
9;21;21;0;1;0;1;0
9;22;22;0;1;0;0;0
9;23;23;1;1;0;1;0
9;24;24;-2;1;-3;0;0
9;25;25;-2;1;-3;0;0
9;26;26;0;1;0;0;0
9;27;27;0;1;1;0;0
9;28;28;0;1;1;0;0
9;29;29;-1;1;-1;1;0
9;30;30;-1;1;-1;1;0
9;31;31;-2;1;0;0;0
9;32;32;0;1;1;1;0
9;33;33;0;1;-1;1;0
9;34;34;0;1;0;1;0
10;1;1;0;1;1;0;0
10;2;2;0;1;-1;0;0
10;3;3;0;1;-1;1;0
10;4;4;0;1;0;0;0
10;5;5;0;1;1;0;0
10;6;6;0;1;0;0;0
10;7;7;2;1;0;0;0
10;8;8;0;1;0;1;0
10;9;9;0;1;0;1;0
10;10;10;0;1;0;0;0
10;11;11;0;1;1;0;0
10;12;12;-1;1;1;0;0
10;13;13;0;1;1;1;0
10;14;14;0;1;1;0;0
10;15;15;0;1;0;0;0
10;16;16;0;1;0;0;0
10;17;17;0;1;0;0;0
10;18;18;-1;1;0;0;0
10;19;19;0;1;0;1;0
10;20;20;0;1;0;0;0
10;21;21;0;1;1;1;0
10;22;22;-1;1;0;1;0
10;23;23;0;1;1;0;0
10;24;24;-1;1;1;1;0
10;25;25;-1;1;0;1;0
10;26;26;-1;1;1;0;0
10;27;27;0;1;-1;0;0
10;28;28;0;1;1;0;0
10;29;29;-1;1;0;1;0
10;30;30;0;1;2;0;0
10;31;31;-2;1;1;0;0
10;32;32;-1;1;-1;1;0
10;33;33;0;1;0;1;0
10;34;34;0;1;0;1;0
10;35;35;-1;1;-1;0;0
10;36;36;2;1;2;1;0
10;37;37;0;1;0;1;0
10;38;38;-2;1;-1;0;0
10;39;39;0;1;1;1;0
10;40;40;0;1;0;0;0
10;41;41;-1;1;0;0;0
10;42;42;0;1;2;0;0
10;43;43;0;1;1;0;0
10;44;44;1;1;1;1;0
10;45;45;-2;1;0;0;0
10;46;46;-1;1;0;0;0
10;47;47;0;1;0;1;0
10;48;48;-1;1;-1;0;0
10;49;49;0;1;-1;0;0
10;50;50;0;1;0;1;0
11;1;1;0;1;0;0;1
11;2;2;0;1;-1;0;1
11;3;3;1;1;1;0;1
11;4;4;1;1;0;0;1
11;5;5;1;1;0;0;1
11;6;6;2;1;0;0;1
11;7;7;1;1;2;0;1
11;8;8;2;1;2;0;1
11;9;9;0;1;1;0;1
11;10;10;2;1;1;0;1
11;11;11;1;1;1;0;1
11;12;12;0;1;0;0;1
11;13;13;-2;1;-1;0;1
11;14;14;0;1;1;0;1
11;15;15;0;1;2;0;1
11;16;16;0;1;0;0;1
11;17;17;2;1;1;0;1
11;18;18;-1;1;0;0;1
11;19;19;2;1;2;0;1
11;20;20;0;1;0;0;1
11;21;21;1;1;0;0;1
11;22;22;0;1;-1;0;1
11;23;23;2;1;1;0;1
11;24;24;1;1;1;0;1
11;25;25;0;1;0;0;1
11;26;26;0;1;0;0;1
11;27;27;0;1;1;0;1
11;28;28;-1;1;1;0;1
11;29;29;2;1;1;0;1
11;30;30;0;1;-1;0;1
11;31;31;0;1;-1;0;1
11;32;32;0;1;1;0;1
11;33;33;-2;1;-1;0;1
11;34;34;-1;1;0;0;1
11;35;35;2;1;2;0;1
11;36;36;0;1;3;0;1
11;37;37;1;1;0;0;1
11;38;38;0;1;-1;0;1
11;39;39;1;1;-1;0;1
11;40;40;1;1;0;0;1
11;41;41;0;1;1;0;1
11;42;42;1;1;1;0;1
11;43;43;1;1;1;0;1
11;44;44;2;1;2;0;1
11;45;45;0;1;0;0;1
11;46;46;0;1;1;0;1
11;47;47;0;1;1;0;1
11;48;48;1;1;1;0;1
11;49;49;1;1;2;0;1
11;50;50;1;1;2;0;1
11;51;51;0;1;-1;0;1
11;52;52;2;1;2;0;1
11;53;53;1;1;0;0;1
11;54;54;0;1;0;0;1
11;55;55;1;1;2;0;1
11;56;56;1;1;2;0;1
11;57;57;0;1;1;0;1
11;58;58;1;1;1;0;1
11;59;59;-1;1;0;0;1
11;60;60;0;1;0;0;1
11;61;61;1;1;1;0;1
11;62;62;1;1;1;0;1
12;1;1;-1;1;-1;1;0
12;2;2;1;1;1;1;0
12;3;3;-2;1;-1;0;0
12;4;4;0;1;1;1;0
12;5;5;1;1;1;0;0
12;6;6;0;1;0;1;0
12;7;7;1;1;1;1;0
12;8;8;-1;1;-1;0;0
12;9;9;-2;1;0;0;0
12;10;10;1;1;0;1;0
12;11;11;1;1;0;0;0
12;12;12;0;1;0;1;0
12;13;13;1;1;0;0;0
12;14;14;0;1;0;0;0
12;15;15;1;1;1;1;0
12;16;16;0;1;-1;0;0
12;17;17;0;1;0;1;0
12;18;18;0;1;1;1;0
12;19;19;-1;1;0;1;0
12;20;20;1;1;0;0;0
12;21;21;0;1;-1;0;0
12;22;22;0;1;-1;0;0
12;23;23;-1;1;0;0;0
12;24;24;0;1;-1;1;0
12;25;25;0;1;1;1;0
12;26;26;-1;1;-1;0;0
12;27;27;0;1;1;1;0
12;28;28;-2;1;-2;0;0
12;29;29;1;1;1;1;0
12;30;30;0;1;1;0;0
12;31;31;-2;1;-1;0;0
12;32;32;-1;1;-2;1;0
12;33;33;0;1;2;0;0
12;34;34;0;1;1;1;0
12;35;35;1;1;0;1;0
12;36;36;0;1;0;0;0
12;37;37;-1;1;1;1;0
12;38;38;0;1;0;1;0
12;39;39;1;1;-1;1;0
12;40;40;0;1;-1;0;0
12;41;41;0;1;-1;1;0
12;42;42;0;1;0;0;0
12;43;43;0;1;1;0;0
12;44;44;1;1;1;0;0
12;45;45;1;1;0;1;0
12;46;46;-1;1;0;0;0
12;47;47;0;1;0;1;0
13;1;1;-1;1;-1;1;0
13;2;2;-1;1;-1;0;0
13;3;3;-1;1;-2;1;0
13;4;4;0;1;0;1;0
13;5;5;0;1;1;1;0
13;6;6;1;1;0;1;0
13;7;7;-1;1;-1;1;0
13;8;8;0;1;1;0;0
13;9;9;-2;1;-1;0;0
13;10;10;-2;1;-1;0;0
13;11;11;0;1;0;1;0
13;12;12;-2;1;-2;0;0
13;13;13;0;1;0;1;0
13;14;14;-1;1;-3;0;0
13;15;15;-1;1;0;1;0
13;16;16;2;1;1;1;0
13;17;17;1;1;1;0;0
13;18;18;-2;1;-1;1;0
13;19;19;-1;1;1;1;0
13;20;20;2;1;2;1;0
13;21;21;-1;1;-2;0;0
13;22;22;-1;1;-1;0;0
13;23;23;-1;1;-1;1;0
13;24;24;0;1;0;0;0
13;25;25;-1;1;0;1;0
13;26;26;0;1;0;0;0
13;27;27;0;1;0;0;0
13;28;28;0;1;0;1;0
13;29;29;-1;1;0;0;0
13;30;30;-3;1;-2;0;0
13;31;31;0;1;0;1;0
13;32;32;1;1;1;0;0
13;33;33;-1;1;-2;0;0
13;34;34;1;1;0;0;0
13;35;35;0;1;0;0;0
13;36;36;0;1;1;1;0
13;37;37;0;1;0;1;0
13;38;38;1;1;3;1;0
13;39;39;1;1;0;1;0
13;40;40;1;1;1;0;0
13;41;41;1;1;-1;1;0
13;42;42;0;1;1;1;0
13;43;43;-1;1;-2;1;0
13;44;44;0;1;-1;1;0
13;45;45;1;1;0;1;0
13;46;46;0;1;-1;0;0
13;47;47;0;1;0;1;0
13;48;48;-1;1;0;0;0
13;49;49;-1;1;0;1;0
13;50;50;-1;1;0;1;0
13;51;51;-1;1;2;0;0
13;52;52;1;1;0;1;0
13;53;53;0;1;0;0;0
13;54;54;0;1;1;1;0
13;55;55;2;1;2;1;0
13;56;56;-1;1;0;1;0
13;57;57;1;1;1;1;0
13;58;58;0;1;0;0;0
13;59;59;-1;1;-1;1;0
13;60;60;0;1;0;1;0
13;61;61;-1;1;0;1;0
13;62;62;0;1;0;0;0
13;63;63;-1;1;0;0;0
13;64;64;-1;1;0;1;0
14;1;1;2;1;1;1;0
14;2;2;0;1;0;0;0
14;3;3;0;1;1;0;0
14;4;4;0;1;0;0;0
14;5;5;1;1;1;1;0
14;6;6;0;1;0;1;0
14;7;7;-1;1;0;0;0
14;8;8;0;1;0;0;0
14;9;9;0;1;1;0;0
14;10;10;0;1;0;1;0
14;11;11;1;1;1;1;0
14;12;12;-1;1;-2;1;0
14;13;13;0;1;1;0;0
14;14;14;-1;1;1;0;0
14;15;15;0;1;-1;1;0
14;16;16;0;1;2;0;0
14;17;17;-2;1;0;1;0
14;18;18;1;1;1;1;0
14;19;19;0;1;-1;1;0
14;20;20;0;1;0;1;0
14;21;21;0;1;-1;1;0
14;22;22;0;1;1;1;0
14;23;23;0;1;0;0;0
14;24;24;1;1;1;1;0
14;25;25;-1;1;1;0;0
